frcd,partno,floor,current_stock
U,HINO70042,2,2028
I,TOY0000000059,2,62520
A,1780138011,3,511
F,4477107780T,2,899
C,15613EV043,3,3444
O,04004141B5,4,202
C,15613EV015,3,9909
A,178010M020,3,2768
A,1780125020,3,1046
S,400434348,4,0
C,23304EV083,3,6952
C,15613EV034,3,4792
A,17801AZD04,3,13081
C,23304EV390,3,5269
S,400434533,2,0
F,4477109501T,3,186
C,15613EV190,3,2940
A,17801AZD01,3,1176
S,400434148,3,0
S,400434248,2,0
C,1720178320,3,52
D,1780131131,3,910
D,415231090,3,0
C,15613EV052,3,2982
6,C8HC800N01B,3,3677
C,23304EV052,3,5120
A,178010C010,3,84
D,9091510009,2,12485
C,1780178110,3,159
O,04004131B5,4,1
A,853150D240,3,167
A,04152YZZA1,3,272
A,7702442110,3,195
S,400629353,4,0
A,1780121050,3,1027
A,04152YZZA6,3,1975
F,4476009860T,3,227
A,8155142230,3,94
A,15601YZZT1,3,2104
S,400649233,4,0
D,87139YZZ44,3,681
D,7702442110,3,385
D,1780138011,3,816
D,1780125020,3,602
A,1780131120,3,305
F,4476006322T,3,153
C,23304EV401,3,3909
D,7702478010,3,173
C,23304EV096,3,2030
A,4882042030,3,88
C,921920102,4,118
A,178010H030,3,610
7,3MHAMLEX01,4,84
S,400706733,4,0
C,446537220,3,0
A,7702402271,3,1441
A,9091902258,3,448
A,1251474032,4,194
A,77024F4050,3,103
A,443702460,3,0
A,1780121060,3,750
7,3MHAMFOR02,4,72
D,7710342090,3,145
O,S5882E0120,4,52
D,7702453100,3,117
C,S178013360,3,30
D,7702433380,3,185
A,644610D020,3,216
C,23304EV164,3,1944
C,1560178140,3,1419
A,17801YZZT3,3,162
N,7100169346,4,100
N,82131533W0,4,389
F,1625005592T,2,1005
A,424310D080,3,42
A,270600M050,3,81
D,7702448080,3,434
D,87139YZZ58,3,808
A,90916T2043,3,200
N,8DDMEM08HIN1,4,282
N,AT817S0002,4,137
A,8850106210,3,2
A,815500A091,3,16
A,270600T121,3,79
D,1780131170,3,267
V,C8HC8LLN01B,2,1956
S,400706353,4,0
I,TOY0000000047,2,251
7,3MHAMVWG02,4,48
O,73900WAA01,4,55
N,AT817S,4,134
N,S0823E903383,3,250
A,6786102100,3,112
A,8155002240,3,52
A,8531533520,3,10
C,879010W160,3,42
C,879210W141,3,0
D,4351248110,2,97
C,15613EV024,3,551
A,7702428061,3,27
N,15607238083,3,192
C,15613EV200,3,72
A,7702402133,3,519
V,200008HDBG,2,4058
C,2330478260,3,400
O,17103E0Q10,4,35
U,WPT040020L,2,225
U,HCG1225406B,3,35
A,678810K020,3,28
A,4815706111,3,203
A,338200D500,3,19
A,5259102430,3,11
A,815600A091,3,11
A,678810M010,3,17
A,815510DD90,3,11
D,4882028050,3,110
D,7702448120,3,103
A,7710312160,3,114
O,400983658,4,0
F,1161208960T,2,102
A,8850106331,3,19
A,6787202050,3,98
A,451000Z380C0,3,22
C,879060W160,3,17
V,CYG04,3,151
D,7702433340,3,55
A,815600A081,3,8
A,1120128033,3,24
D,7702433420,3,55
A,177510T160,3,33
D,7702433510,3,84
D,7702433321,3,74
A,6788168010,3,45
D,4351248130,2,64
N,CYG04,3,218
C,23304EV233,3,563
A,7702452122,3,86
D,8847412010,3,358
C,S178013391,3,135
N,20CA5031,3,2705
A,4333049215,3,155
A,233000M010,3,627
N,15607219083,2,316
A,4882033070,3,77
A,165720T120,3,21
A,178010D030,3,310
D,1780177050,3,231
A,87139YZZ59,3,192
A,7710342090,3,128
A,8211A02030,3,426
A,7710342080,3,264
A,9091602679,3,289
A,87139YZZ62,3,527
A,04465YZZT8,3,189
A,9091901275,2,2220
N,200008HDBG,2,7241
6,C8HC800N51,3,2240
A,481312T250,4,114
A,8162138010,4,97
N,82131H67G0,4,385
A,7662216150,2,178
A,5591016240,2,120
C,47441E0720,4,267
N,1802CS0020,4,4000
L,PZ07100A391A,4,69
F,TWY140200110T,4,19
C,1.66E+74,2,0
U,WBS011706HH,3,0
A,6787102050,3,88
A,5144202420,3,16
A,5144102440,3,18
A,8158102A90,3,51
S,400431478,3,0
C,8113037341,3,21
A,5832702290,2,30
C,4351237150,2,81
A,815510A080,3,38
A,6446102060,3,56
A,815500A081,3,22
A,8794002909,3,32
A,853150A050,3,15
A,270600H091,3,20
A,7702406110,3,460
C,23355EV013,3,814
D,1780131141,3,175
A,4351233150,2,258
D,7716952010,2,313
G,8713928020,3,110
A,9091602609,3,162
A,178010H020,3,217
D,2321736010,3,532
C,SZ91049326,3,165
C,15601EV030,3,87
A,9046707215,2,1473
C,23304EV570,3,541
A,7716952040,3,164
A,852140D121,2,826
A,7710312150,3,323
N,12040HWGA,2,840
2,677008840,4,0
A,5555016140B0,4,24
A,770240K190,4,47
N,7100135646,4,100
N,7100135945,4,50
G,4620126150C0,2,44
A,8151020810,2,90
G,1789311080,3,7
A,514420D070,3,11
A,7151242190,3,2
D,8531533520,3,7
G,8710336011,3,29
C,8111025161,3,12
A,8531568020,3,4
A,5144202530,3,12
D,8155178191,3,14
C,5381337190A0,3,10
A,270600D260,3,44
A,4823106410,2,27
A,8850102320,3,0
A,8156102830,3,0
A,815610A080,3,15
A,815610DB31,3,11
A,815600DD90,3,0
C,1780178090,3,3
C,879060W230,3,0
G,4243137091,2,66
C,879010W230,3,10
D,4882033070,3,48
A,8531542460,3,3
A,8791002909,3,36
D,8847447020,3,332
C,S47ABEV060,3,27
A,814400D060,3,45
A,4243178010,3,181
A,9046722015,2,253
A,044650A010,3,71
A,8156142230,3,18
A,6446102320,3,10
A,7702406250,3,251
N,24SF227,2,1034
F,9086110000T,3,150
A,9018906013,2,2688
A,90916T2030,3,73
A,1657722H02,3,63
C,1780178130,3,96
C,23304EV441,3,92
A,90916T2047,3,71
A,165730D080,3,16
D,1780124040,3,257
A,4881506111,2,797
A,8847417010,3,952
A,4882047010,3,319
A,7702452280,3,293
A,232170Y030,3,3037
N,9.01E+11,3,0
A,482312G340,4,127
A,8156090P53,4,30
2,2677006380,4,92
A,8162138020,4,65
7,3MHAMTOY05,4,24
O,SU00308059,4,166
C,25608E0330,2,57
C,2335578391,2,61
G,8156136390,2,9
C,8115025280,2,12
A,8152020800,2,81
C,884610W070,3,0
A,514410D040,3,9
C,5177137211,3,9
A,815600K271,3,4
C,8113037670,3,9
A,5144102360,3,11
S,400427778,3,0
