frcd,partno,partname,floor,repack,picktime_repack_mean,picktime_repack_std,picktime_norepack_mea,picktime_norepack_std,supplier1,supplier2
U,HINO70042,HINO700 4×2拖車頭模型車,2,,,,,,HN3,
I,TOY0000000059,潔膚柔濕巾,2,,,,,,IA8,
A,1780138011,空氣芯,3,,,,,,KG0,T015
F,4477107780T,冷凝器芯子,2,,,,,,DG0,
C,15613EV043,機油濾清器濾芯,3,,,,,,HG0,
O,04004141B5,啟動馬達,4,,,,,,TG0,
C,15613EV015,機油濾清器濾芯,3,,,,,,HG0,
A,178010M020,空氣芯,3,,,,,,KG0,T015
A,1780125020,空氣芯,3,,,,,,TG0,
S,400434348,,4,,,,,,TG0,
C,23304EV083,燃油濾清器濾芯,3,,,,,,HG0,
C,15613EV034,機油濾清器濾芯,3,,,,,,HG0,
A,17801AZD04,"濾芯半總成, 空氣芯",3,,,,,,PG1,
C,23304EV390,燃油濾清器濾芯,3,,,,,,HG0,
S,400434533,,2,,,,,,TG0,
F,4477109501T,冷凝器芯子,3,,,,,,DG0,
C,15613EV190,機油濾清器濾芯,3,,,,,,HG0,
A,17801AZD01,"濾芯半總成, 空氣芯",3,,,,,,PG1,
S,400434148,,3,,,,,,TG0,
S,400434248,,2,Y,,,,,TG0,
C,1720178320,渦輪增壓器,3,,,,,,HG0,
D,1780131131,空氣芯,3,,,,,,TG0,
D,415231090,,3,,,,,,TG0,
C,15613EV052,機油濾清器濾芯,3,,,,,,HG0,
6,C8HC800N01B,臭氧負離子空氣清淨機,3,,,,,,NI2,
C,23304EV052,燃油濾清器濾芯,3,,,,,,HG0,
A,178010C010,空氣芯,3,,,,,,KG0,T015
D,9091510009,機油濾清器,2,Y,,,,,TG0,
C,1780178110,"濾芯半總成, 空氣芯",3,,,,,,HG0,
O,04004131B5,啟動馬達,4,,,,,,TG0,
A,853150D240,前擋噴水筒總成,3,,,,,,KG0,K001
A,04152YZZA1,機油濾清器替換濾芯,3,,,,,,PG1,
A,7702442110,燃油芯,3,,,,,,TG0,
S,400629353,,4,,,,,,TG0,
A,1780121050,空氣芯,3,,,,,,TG0,
A,04152YZZA6,機油濾清器替換濾芯,3,,,,,,PG1,
F,4476009860T,蒸發器半總成,3,,,,,,DG0,
A,8155142230,組合燈殼,3,,,,,,TG0,
A,15601YZZT1,機油濾清器,3,,,,,,PG1,TAM
S,400649233,,4,,,,,,TG0,
D,87139YZZ44,A/C濾網,3,,,,,,TG0,
D,7702442110,燃油芯,3,,,,,,TG0,
D,1780138011,空氣芯,3,,,,,,TG0,
D,1780125020,空氣芯,3,,,,,,TG0,
A,1780131120,空氣芯,3,,,,,,TG0,
F,4476006322T,蒸發器半總成,3,,,,,,DG0,
C,23304EV401,燃油濾清器濾芯,3,,,,,,HG0,
D,7702478010,燃油芯,3,,,,,,TG0,
C,23304EV096,燃油濾清器濾芯,3,,,,,,HG0,
A,4882042030,平衡桿連桿總成,3,,,,,,TG0,
C,921920102,螺帽,4,Y,,,,,HG0,
A,178010H030,空氣芯,3,,,,,,KG0,T015
7,3MHAMLEX01,PM0.3 A/C 空調濾網,4,,,,,,NE5,
S,400706733,,4,,,,,,TG0,
C,446537220,,3,,,,,,HG0,
A,7702402271,燃油濾清器含固定板,3,,,,,,KG0,C306
A,9091902258,點火線圈總成,3,,,,,,TG0,
A,1251474032,發電機皮帶調整桿,4,,,,,,KG0,L203
A,77024F4050,燃油芯,3,,,,,,TG0,TME
A,443702460,,3,,,,,,KG0,T081
A,1780121060,空氣芯,3,,,,,,TG0,
7,3MHAMFOR02,PM0.3 A/C 空調濾網,4,,,,,,NE5,
D,7710342090,燃油芯濾網,3,,,,,,TG0,
O,S5882E0120,排檔桿軸套,4,,,,,,HG0,
D,7702453100,燃油芯,3,,,,,,TG0,
C,S178013360,空氣濾清器濾芯,3,,,,,,HG0,
D,7702433380,燃油芯,3,,,,,,TG0,
A,644610D020,行李廂蓋防水膠條,3,,,,,,KG0,T009
C,23304EV164,燃油濾清器濾芯,3,,,,,,HG0,
C,1560178140,機油濾清器濾芯,3,,,,,,HG0,
A,17801YZZT3,"濾芯半總成, 空氣芯",3,,,,,,PG1,
N,7100169346,"PPS2.0中型內杯組-上蓋+內杯(400ML),125U",4,,,,,,NE5,
N,82131533W0,線組,4,,,,,,NGQ,
F,1625005592T,馬達總成,2,,,,,,DG0,
A,424310D080,後煞車鼓,3,,,,,,KG0,T024
A,270600M050,發電機總成,3,,,,,,KG0,T015
D,7702448080,燃油芯,3,,,,,,TG0,
D,87139YZZ58,A/C濾網,3,,,,,,DG0,
A,90916T2043,風扇V形皮帶,3,,,,,,PG1,
